trial,position,orientation,mean_velocity,std_velocity,mean_acceleration,std_acceleration,startup_acceleration,displacement,directional_bias
flipped_back (1),back,flipped,34.92196655804409,15.888493840189028,0.012363356328065057,3.434816692677094,10.200000000000102,294.0152825959903,-18.700000000000003
flipped_back (10),back,flipped,35.01973188618496,14.665794737852947,0.0,2.8271930929800466,10.199999999997544,293.6921594118577,-23.629999999999995
flipped_back (2),back,flipped,36.341044645361,13.004078761885582,0.020335734161386933,2.9406835488762773,10.199999999997544,293.4273376834545,10.200000000000003
flipped_back (3),back,flipped,34.06025239718303,15.551302659378337,0.018767600326951153,3.1268529240511596,10.200000000000102,293.75222790644506,-17.17
flipped_back (4),back,flipped,35.39324953871733,15.559324516115025,0.0011801046132885824,3.9599339225620573,10.200000000000955,296.8071961728691,-47.94
flipped_back (5),back,flipped,35.345297668868,15.178601144345071,0.0070311579623037095,3.563998726306653,10.200000000000955,296.8120159292747,-46.92
flipped_back (6),back,flipped,35.419720015798966,14.726380789089573,-0.013986758081065594,2.642331177197715,10.199999999997544,293.7476530970078,-24.310000000000002
flipped_back (7),back,flipped,33.9236121002864,15.632550398349737,8.737347259925921e-05,3.2154157825770486,10.199999999997544,293.3834073358615,-16.659999999999997
flipped_back (8),back,flipped,36.17215912223264,15.873501991359074,9.004977793687513e-05,4.166722698208131,10.200000000000102,295.85636819240517,-41.65
flipped_back (9),back,flipped,34.28839758934845,14.981232131520196,9.044364767257261e-05,2.5506893645170123,10.200000000000102,294.26504039725825,-29.919999999999995
flipped_front (1),front,flipped,31.79944632240711,17.21678064985929,-0.011430385753512727,3.485437778807258,10.199999999997544,294.755195034795,29.75
flipped_front (10),front,flipped,31.689196036130948,17.56122802037669,-0.011450264685257954,2.6696937619910566,10.199999999997544,294.05621928468037,21.760000000000005
flipped_front (2),front,flipped,31.37691842025344,17.573012324851234,0.016309753329162284,3.43089983486461,10.200000000000955,294.3862566425274,25.840000000000003
flipped_front (3),front,flipped,33.01818604794098,16.00968017849317,0.011737363602594713,2.694664444964943,10.199999999997544,293.69437345648964,16.150000000000006
flipped_front (4),front,flipped,29.831859779856163,18.174564074523936,-0.0009444628626811041,3.5749236549368684,10.200000000000102,295.37136760356447,36.72
flipped_front (5),front,flipped,31.156868927514815,20.05241067318529,-0.011811154201663746,3.56306444847398,10.200000000000102,293.63886970222455,28.730000000000004
flipped_front (6),front,flipped,29.63470033705983,18.58156441026068,-0.010699397926559651,2.857729691229737,10.199999999997544,293.7816919074435,3.5700000000000074
flipped_front (7),front,flipped,30.510716763908604,17.63996917892958,-2.2160265764279777e-06,3.462373102951532,10.200000000000955,294.70420594216165,32.47000000000001
flipped_front (8),front,flipped,32.712981936672,15.740432996885406,0.023038843900887,3.181533843411856,10.200000000000955,295.35028169954404,36.55000000000001
flipped_front (9),front,flipped,32.95524874846779,18.32064751533515,-0.005390746866763913,3.6933678869578728,10.199999999997544,294.10058959478476,24.480000000000004
left_back (1),back,left,14.332950076542291,11.568379820379615,-1.349254648506201e-15,2.7721595242981367,10.200000000000102,16.319999999999993,0.0
left_back (10),back,left,14.604467882224066,10.461636793910355,-0.034986051319158606,2.9549149883450543,14.424978336205111,14.458997198976133,-0.509999999999998
left_back (2),back,left,14.975255902142548,12.416638814774101,0.016146958008431134,3.0581743306752016,10.200000000000102,17.170841563534374,-0.1700000000000017
left_back (3),back,left,14.254994950485129,12.259990906446832,0.059748225411516705,2.962536630777787,10.200000000000102,16.319999999999993,0.0
left_back (4),back,left,14.26734862195254,11.229945634878158,-0.014402022401683015,2.625119453958785,10.200000000000102,16.490876265377757,-0.1700000000000017
left_back (5),back,left,13.037236302779888,12.769613635484314,0.04258678103878955,2.996621931388475,10.200000000000102,15.988136226590004,-0.509999999999998
left_back (6),back,left,15.774889771388613,11.53642789125008,0.02285782771699715,3.3663593025742555,10.200000000000102,14.619999999999976,0.0
left_back (7),back,left,14.989325780607565,9.925789443402788,0.026351930063741126,2.4337422204796897,10.200000000000102,15.640923885755583,-0.1700000000000017
left_back (8),back,left,14.041149734641436,11.14948538314748,-0.01789688621760292,2.688864576933229,10.200000000000102,16.323541282454606,-0.3399999999999963
left_back (9),back,left,17.260968353144907,12.412517598511256,0.06546513920140917,3.6069737943939084,10.200000000000102,16.493504782186207,-0.3399999999999963
left_front (1),front,left,20.092143503279193,18.439064585194373,-0.0001924382681628019,3.213612497711393,10.200000000000955,57.253668004766304,54.23000000000001
left_front (10),front,left,19.029107332003758,15.266403445051548,0.0013525990507599025,2.594318993007041,10.200000000000102,15.810000000000002,0.0
left_front (2),front,left,21.05390885299789,16.655336654743067,0.017431097050362675,2.7454833669087906,14.424978336206317,57.19937936726238,54.23000000000001
left_front (3),front,left,9.04287994275039,12.499142781602549,0.005407222608048081,2.2824788732759074,10.200000000000102,19.04000000000002,0.0
left_front (4),front,left,14.591697173455657,16.227783312792084,-2.8059649139095364e-06,3.1660320087226754,14.424978336206317,18.22888367399386,1.1900000000000048
left_front (5),front,left,7.535039273976821,10.91230518170039,0.006403688544302828,3.1924641668996303,10.200000000000955,8.168849368179103,-1.6999999999999957
left_front (6),front,left,18.47235075135283,15.22088851586619,0.024171712531058268,2.442127685531749,14.424978336206317,17.700420898950377,0.8500000000000014
left_front (7),front,left,9.040655446859336,10.77963355148939,-7.525206014771963e-07,2.3378324166839333,10.200000000000102,19.38074559969252,-0.1700000000000017
left_front (8),front,left,20.99846657971318,18.397694706985412,0.0001998715059888119,2.732899478900775,10.200000000000102,57.79124933759436,54.74
left_front (9),front,left,19.272861178568895,15.339970366466487,0.02351334885229767,2.988598587553413,14.424978336206317,15.810913952077536,-0.1700000000000017
normal_back (1),back,normal,33.94392978625024,13.766904643128713,0.01852815682318274,2.7798446294745394,10.199999999997544,298.94663135750505,62.22
normal_back (10),back,normal,32.25375876638275,17.23858161896266,-0.0011351317122097763,4.428830956865543,10.199999999997544,293.98525218112565,27.03
normal_back (2),back,normal,34.789334785488094,11.741482604622691,-0.003613521832400548,2.605958409615513,10.199999999997544,294.3897907536877,34.17
normal_back (3),back,normal,31.59707798837039,14.96258637251754,0.00649192468028713,3.1337142607099255,14.424978336203907,301.2753985973631,73.27000000000001
normal_back (4),back,normal,32.46600199289426,13.839013459952739,0.01261830699866414,2.3540747937997564,10.199999999997544,296.16371317229266,48.110000000000014
normal_back (5),back,normal,34.639363890410095,12.624783415593892,0.01940860381331257,3.062888440362989,10.199999999997544,294.40957117593854,34.34
normal_back (6),back,normal,32.258936275209805,15.601465452626735,-0.0040459431412381165,3.5040076651422853,10.200000000000955,302.14969021993056,75.48000000000002
normal_back (7),back,normal,32.62130080039926,14.922828352303586,0.001038963130436241,3.555247931257454,14.424978336203907,293.4848508867196,18.36
normal_back (8),back,normal,32.881817197989434,14.852472988466056,0.031455300791182327,3.748603591439855,14.424978336203907,293.50631696779544,18.700000000000003
normal_back (9),back,normal,32.713558279246946,14.050355599251388,7.933570850999938e-05,2.291326345345147,10.199999999997544,306.83620190583775,83.98000000000002
normal_front (1),front,normal,32.05286726852285,17.532989295491493,-0.004177420270986687,3.6660711997847515,10.199999999997544,294.9759152880113,34.849999999999994
normal_front (10),front,normal,30.541442164480543,16.882525034339725,0.022298799334992417,2.706030312683787,10.200000000000955,293.7088873357427,19.209999999999994
normal_front (2),front,normal,32.48869046773599,15.319544184878122,0.011268908725448413,3.2077309698424012,10.199999999997544,297.51112264922136,54.91
