x,y,frame,velocity_px,velocity_px_per_sec
153,479,0,,
153,471,1,8.0,242.7906976744186
153,464,2,7.0,212.44186046511626
154,457,3,7.0710678118654755,214.59868591824292
155,450,4,7.0710678118654755,214.59868591824292
156,442,5,8.06225774829855,244.68014794254898
156,435,6,7.0,212.44186046511626
157,427,7,8.06225774829855,244.68014794254898
159,419,8,8.246211251235321,250.262922857258
161,412,9,7.280109889280518,220.9428698956064
162,405,10,7.0710678118654755,214.59868591824292
163,397,11,8.06225774829855,244.68014794254898
166,390,12,7.615773105863909,231.12985821284653
168,383,13,7.280109889280518,220.9428698956064
170,376,14,7.280109889280518,220.9428698956064
171,368,15,8.06225774829855,244.68014794254898
174,362,16,6.708203932499369,203.58618911422505
176,354,17,8.246211251235321,250.262922857258
178,347,18,7.280109889280518,220.9428698956064
181,341,19,6.708203932499369,203.58618911422505
190,320,20,22.847319317591726,693.3895746385396
189,327,21,7.0710678118654755,214.59868591824292
192,320,22,7.615773105863909,231.12985821284653
195,314,23,6.708203932499369,203.58618911422505
200,307,24,8.602325267042627,261.07056915094483
203,301,25,6.708203932499369,203.58618911422505
207,297,26,5.656854249492381,171.67894873459434
210,290,27,7.615773105863909,231.12985821284653
215,284,28,7.810249675906654,237.03199597809729
218,279,29,5.830951894845301,176.96260983193295
224,273,30,8.48528137423857,257.51842310189147
228,268,31,6.4031242374328485,194.3273751127876
231,265,32,4.242640687119285,128.75921155094574
236,258,33,8.602325267042627,261.07056915094483
240,253,34,6.4031242374328485,194.3273751127876
244,249,35,5.656854249492381,171.67894873459434
245,242,36,7.0710678118654755,214.59868591824292
250,238,37,6.4031242374328485,194.3273751127876
255,235,38,5.830951894845301,176.96260983193295
262,218,39,18.384776310850235,557.9565833874316
264,225,40,7.280109889280518,220.9428698956064
281,211,41,22.02271554554524,668.3638089985241
286,208,42,5.830951894845301,176.96260983193295
292,208,43,6.0,182.09302325581393
300,204,44,8.94427190999916,271.44825215230003
305,202,45,5.385164807134504,163.433490076989
291,211,46,16.64331697709324,505.1053175606204
316,202,47,26.570660511172846,806.3886503972224
272,220,48,47.53945729601885,1442.7672504954558
326,198,49,58.309518948453004,1769.6260983193295
330,198,50,4.0,121.3953488372093
332,208,51,10.198039027185569,309.49862629016667
284,213,52,48.25971404805462,1464.6262054118902
341,207,53,57.3149195236284,1739.4411622868618
342,211,54,4.123105625617661,125.131461428629
345,208,55,4.242640687119285,128.75921155094574
348,202,56,6.708203932499369,203.58618911422505
351,201,57,3.1622776601683795,95.9714499190636
352,204,58,3.1622776601683795,95.9714499190636
354,196,59,8.246211251235321,250.262922857258
356,195,60,2.23606797749979,67.86206303807501
357,193,61,2.23606797749979,67.86206303807501
311,215,62,50.99019513592785,1547.4931314508335
360,189,63,55.47071299343465,1683.4716385216796
328,164,64,40.607881008493905,1232.4019701415011
