x,y,frame,velocity_px,velocity_px_per_sec
187,465,0,,
186,457,1,8.06225774829855,242.83908880417317
186,448,2,9.0,271.08433734939763
185,438,3,10.04987562112089,302.7070970217136
184,431,4,7.0710678118654755,212.98397023691192
183,422,5,9.055385138137417,272.75256440172944
182,412,6,10.04987562112089,302.7070970217136
182,403,7,9.0,271.08433734939763
181,394,8,9.055385138137417,272.75256440172944
180,384,9,10.04987562112089,302.7070970217136
179,375,10,9.055385138137417,272.75256440172944
178,366,11,9.055385138137417,272.75256440172944
176,356,12,10.198039027185569,307.1698502164328
175,348,13,8.06225774829855,242.83908880417317
174,339,14,9.055385138137417,272.75256440172944
173,331,15,8.06225774829855,242.83908880417317
174,323,16,8.06225774829855,242.83908880417317
171,313,17,10.44030650891055,314.46706352140217
170,305,18,8.06225774829855,242.83908880417317
169,296,19,9.055385138137417,272.75256440172944
167,287,20,9.219544457292887,277.6971222076171
166,279,21,8.06225774829855,242.83908880417317
166,270,22,9.0,271.08433734939763
163,262,23,8.54400374531753,257.34951040113043
162,253,24,9.055385138137417,272.75256440172944
161,245,25,8.06225774829855,242.83908880417317
160,237,26,8.06225774829855,242.83908880417317
159,228,27,9.055385138137417,272.75256440172944
156,219,28,9.486832980505138,285.7479813405162
156,210,29,9.0,271.08433734939763
153,201,30,9.486832980505138,285.7479813405162
151,192,31,9.219544457292887,277.6971222076171
149,183,32,9.219544457292887,277.6971222076171
147,175,33,8.246211251235321,248.37985696491933
145,166,34,9.219544457292887,277.6971222076171
144,158,35,8.06225774829855,242.83908880417317
142,149,36,9.219544457292887,277.6971222076171
140,140,37,9.219544457292887,277.6971222076171
138,132,38,8.246211251235321,248.37985696491933
136,124,39,8.246211251235321,248.37985696491933
134,115,40,9.219544457292887,277.6971222076171
131,108,41,7.615773105863909,229.39075620072015
131,99,42,9.0,271.08433734939763
128,91,43,8.54400374531753,257.34951040113043
127,83,44,8.06225774829855,242.83908880417317
124,74,45,9.486832980505138,285.7479813405162
102,67,46,23.08679276123039,695.3853241334456
110,71,47,8.94427190999916,269.40578042166146
97,74,48,13.341664064126334,401.85735132910645
111,72,49,14.142135623730951,425.96794047382383
108,72,50,3.0,90.36144578313254
106,73,51,2.23606797749979,67.35144510541537
102,72,52,4.123105625617661,124.18992848245966
100,71,53,2.23606797749979,67.35144510541537
94,73,54,6.324555320336759,190.49865422701083
91,71,55,3.605551275463989,108.60094203204787
88,67,56,5.0,150.60240963855424
89,63,57,4.123105625617661,124.18992848245966
94,99,58,36.345563690772494,1094.7458943003764
107,39,59,61.39218191268331,1849.1621058037144
104,40,60,3.1622776601683795,95.24932711350542
101,40,61,3.0,90.36144578313254
98,45,62,5.830951894845301,175.63108117003918
102,39,63,7.211102550927978,217.20188406409574
92,43,64,10.770329614269007,324.4075185020786
85,49,65,9.219544457292887,277.6971222076171
81,57,66,8.94427190999916,269.40578042166146
76,76,67,19.6468827043885,591.7735754333886
89,72,68,13.601470508735444,409.68284664865797
87,73,69,2.23606797749979,67.35144510541537
84,76,70,4.242640687119285,127.79038214214714
81,82,71,6.708203932499369,202.05433531624607
73,89,72,10.63014581273465,320.18511484140515
70,95,73,6.708203932499369,202.05433531624607
62,97,74,8.246211251235321,248.37985696491933
57,98,75,5.0990195135927845,153.5849251082164
53,112,76,14.560219778561036,438.5608367036457
65,101,77,16.278820596099706,490.3259215692683
60,76,78,25.495097567963924,767.924625541082
61,76,79,1.0,30.120481927710845
61,68,80,8.0,240.96385542168676
60,84,81,16.0312195418814,482.8680584904036
63,79,82,5.830951894845301,175.63108117003918
67,74,83,6.4031242374328485,192.8651878744834
79,54,84,23.323807579381203,702.5243246801567
88,54,85,9.0,271.08433734939763
80,64,86,12.806248474865697,385.7303757489668
